"Comment","Designator","Footprint","LCSC Part Number","Service","Qty","DNP"
"Buzzer","BZ1","Buzzer_Beeper:Buzzer_12x9.5RM7.6","C409834","HandAssembly","1",""
"MAIN_BOARD","J1","Connector_IDC:IDC-Header_2x04_P2.54mm_Vertical","C5372864","HandAssembly","1",""
"PROG","J2","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","C5372863","HandAssembly","1",""
"DISPLAY","J3","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","C492409","HandAssembly","1",""
"LED_OUT","J4","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","C2937625","HandAssembly","1","DNP"
"CH1","RV1","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","C6149573","HandAssembly","1",""
"CH2","RV2","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","C6149573","HandAssembly","1",""
"CH3","RV3","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","C6149573","HandAssembly","1",""
"CH4","RV4","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","C6149573","HandAssembly","1",""
"PEC11R-4215K-S00xx","SW1","SaawLib:Rotary_Encoder_Switched_PEC11R","C7275025","HandAssembly","1",""
"BTN1","SW2","Button_Switch_THT:SW_PUSH_6mm_H5mm","C393938","HandAssembly","1",""
"BTN4","SW3","Button_Switch_THT:SW_PUSH_6mm_H5mm","C393938","HandAssembly","1",""
"BTN2","SW4","Button_Switch_THT:SW_PUSH_6mm_H5mm","C393938","HandAssembly","1",""
"BTN3","SW5","Button_Switch_THT:SW_PUSH_6mm_H5mm","C393938","HandAssembly","1",""
