"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","100nF","C_0603_1608Metric","174.752000","-101.305000","90.000000","top"
"C2","100nF","C_0603_1608Metric","217.424000","-102.870000","0.000000","top"
"C3","100nF","C_0603_1608Metric","62.865000","-120.650000","180.000000","top"
"C4","10uF","C_0603_1608Metric","172.339000","-101.305000","90.000000","top"
"C5","100nF","C_0603_1608Metric","94.869000","-127.381000","90.000000","top"
"C6","100nF","C_0603_1608Metric","120.269000","-127.381000","90.000000","top"
"C7","100nF","C_0603_1608Metric","135.509000","-127.381000","90.000000","top"
"C8","100nF","C_0603_1608Metric","153.289000","-127.381000","90.000000","top"
"C9","100nF","C_0603_1608Metric","168.529000","-127.381000","90.000000","top"
"C10","100nF","C_0603_1608Metric","188.849000","-127.381000","90.000000","top"
"C11","100nF","C_0603_1608Metric","206.629000","-127.381000","90.000000","top"
"C12","100nF","C_0603_1608Metric","224.409000","-127.381000","90.000000","top"
"C13","100nF","C_0603_1608Metric","242.189000","-127.381000","90.000000","top"
"C14","100nF","C_0603_1608Metric","172.339000","-105.042000","90.000000","top"
"C15","100nF","C_0603_1608Metric","174.752000","-105.029000","90.000000","top"
"C16","100nF","C_0603_1608Metric","174.752000","-108.712000","-90.000000","top"
"C17","100nF","C_0603_1608Metric","172.339000","-108.712000","-90.000000","top"
"D1","PWR","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","63.500000","-125.730000","90","top"
"D2","30V","D_SOD-323","67.310000","-120.650000","0.000000","top"
"D3","USB","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","88.900000","-125.730000","90","top"
"D4","MIC","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","114.300000","-125.730000","90","top"
"D5","LINE","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","129.540000","-125.730000","90","top"
"D6","TRIG_A","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","147.320000","-125.730000","90","top"
"D7","TRIG_B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","162.560000","-125.730000","90","top"
"D8","CH1","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","182.880000","-125.730000","90","top"
"D9","CH2","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","200.660000","-125.730000","90","top"
"D10","CH3","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","218.440000","-125.730000","90","top"
"D11","CH4","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","236.220000","-125.730000","90","top"
"FID1","Fiducial","Fiducial_1mm_Mask2mm","119.253000","-83.947000","0.000000","top"
"FID2","Fiducial","Fiducial_1mm_Mask2mm","245.110000","-125.730000","0.000000","top"
"FID3","Fiducial","Fiducial_1mm_Mask2mm","76.708000","-122.682000","0.000000","top"
"R1","10k","R_0603_1608Metric","157.480000","-103.569000","90.000000","top"
"R2","10k","R_0603_1608Metric","160.020000","-103.569000","90.000000","top"
"R4","10k","R_0603_1608Metric","154.940000","-103.569000","90.000000","top"
"R5","10k","R_0603_1608Metric","113.030000","-99.695000","0.000000","top"
"R6","10k","R_0603_1608Metric","217.424000","-100.330000","0.000000","top"
"R7","10k","R_0603_1608Metric","113.030000","-97.155000","0.000000","top"
"R8","10k","R_0603_1608Metric","113.030000","-104.775000","0.000000","top"
"R9","1k","R_0603_1608Metric","227.457000","-88.773000","90.000000","top"
"R10","10k","R_0603_1608Metric","145.796000","-112.776000","90.000000","top"
"R11","10k","R_0603_1608Metric","140.716000","-112.776000","90.000000","top"
"R12","10k","R_0603_1608Metric","148.336000","-112.776000","90.000000","top"
"R13","10k","R_0603_1608Metric","143.256000","-112.776000","90.000000","top"
"U1","ESP32-WROOM-32UE","ESP32-WROOM-32UE","186.195","-109.543","0","top"
