"Comment","Designator","Footprint","LCSC Part Number","Service","Qty","DNP"
"TRIG_A","J2","SaawLib:PJ-3062-CO","C319113","HandAssembly","1",""
"TRIG_B","J3","SaawLib:PJ-3062-CO","C319113","HandAssembly","1",""
"BAT","J4","Connector_AMASS:AMASS_XT30UPB-M_1x02_P5.0mm_Vertical","C428721","HandAssembly","1",""
"BAT_LINK","J5","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","C7429634","HandAssembly","1",""
"FRONT_PANEL","J6","Connector_IDC:IDC-Header_2x04_P2.54mm_Vertical","C5372864","HandAssembly","1",""
"I2C","J7","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","C2691448","HandAssembly","1","DNP"
"SWD","J8","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","C2937625","HandAssembly","1","DNP"
"MIC","J9","SaawLib:PJ-3062-CO","C319113","HandAssembly","1",""
"LINE_ALT","J10","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","C2691448","HandAssembly","1",""
"LINE","J11","SaawLib:PJ-3062-CO","C319113","HandAssembly","1",""
"DRV","J12","Connector_PinSocket_2.54mm:PinSocket_2x08_P2.54mm_Vertical","C2897409","HandAssembly","1",""
"DRV_PWR","J13","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","C2897368","HandAssembly","1",""
"CH_IN","J14","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","C2840012","HandAssembly","1",""
"CH1","J15","SaawLib:PJ-3062-CO","C319113","HandAssembly","1",""
"CH2","J16","SaawLib:PJ-3062-CO","C319113","HandAssembly","1",""
"CH3","J17","SaawLib:PJ-3062-CO","C319113","HandAssembly","1",""
"CH4","J18","SaawLib:PJ-3062-CO","C319113","HandAssembly","1",""
"BOOT","JP3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C492401","HandAssembly","1","DNP"
"CT1","JP4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C492401","HandAssembly","1",""
"CT2","JP5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C492401","HandAssembly","1",""
"CT3","JP6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C492401","HandAssembly","1",""
"CT4","JP7","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C492401","HandAssembly","1",""
"PWR","SW1","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx31-2LFS","C2804591","HandAssembly","1",""
