"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","22uF","C_0805_2012Metric","121.031032","-81.977082","90.000000","top"
"C2","22uF","C_0805_2012Metric","124.045683","-81.977082","90.000000","top"
"C3","22uF","C_0805_2012Metric","127.112233","-81.977082","90.000000","top"
"C4","10nF","C_0603_1608Metric","112.522032","-75.291197","90.000000","top"
"C6","1uF","C_0603_1608Metric","112.903032","-102.215197","180.000000","top"
"C7","100nF","C_0603_1608Metric","112.903032","-104.755197","180.000000","top"
"C9","100nF","C_0603_1608Metric","138.422032","-99.220197","90.000000","top"
"C11","100nF","C_0603_1608Metric","138.462032","-76.995197","90.000000","top"
"C13","100nF","C_0603_1608Metric","138.462032","-88.087697","90.000000","top"
"C15","100nF","C_0603_1608Metric","138.475276","-110.356197","90.000000","top"
"D1","SS34","D_SMA","117.222381","-75.926197","180.000000","top"
"D2","SMAJ13A","D_SMA","148.169032","-102.665371","180.000000","top"
"D3","BAV23CL","SOT-23-3","153.884032","-102.665371","0","top"
"D4","SMAJ13A","D_SMA","148.209032","-80.440371","180.000000","top"
"D5","BAV23CL","SOT-23-3","153.924032","-80.440371","0","top"
"D6","SMAJ13A","D_SMA","148.209032","-91.532871","180.000000","top"
"D7","BAV23CL","SOT-23-3","153.924032","-91.532871","0","top"
"D8","SMAJ13A","D_SMA","148.222276","-113.801371","180.000000","top"
"D9","BAV23CL","SOT-23-3","153.937276","-113.801371","0","top"
"FID1","Fiducial","Fiducial_1mm_Mask2mm","123.317032","-74.529197","0.000000","top"
"FID2","Fiducial","Fiducial_1mm_Mask2mm","210.439032","-94.214197","0.000000","top"
"FID3","Fiducial","Fiducial_1mm_Mask2mm","105.537032","-111.994197","0.000000","top"
"L1","15uH","L_CJIANG_FXL0630","106.932381","-76.688197","-90.000000","top"
"Q2","AO3400A","SOT-23","153.916032","-106.221371","180","top"
"Q3","AO3400A","SOT-23","153.916032","-99.109371","180","top"
"Q5","AO3400A","SOT-23","153.956032","-83.996371","180","top"
"Q6","AO3400A","SOT-23","153.956032","-76.884371","180","top"
"Q8","AO3400A","SOT-23","153.956032","-95.088871","180","top"
"Q9","AO3400A","SOT-23","153.956032","-87.976871","180","top"
"Q11","AO3400A","SOT-23","153.969276","-117.357371","180","top"
"Q12","AO3400A","SOT-23","153.969276","-110.245371","180","top"
"R1","100k","R_0603_1608Metric","121.412032","-100.754197","-90.000000","top"
"R2","10k","R_0603_1608Metric","109.663381","-86.213197","180.000000","top"
"R3","1.5k","R_0603_1608Metric","113.347381","-86.213197","0.000000","top"
"R4","10k","R_0603_1608Metric","116.726032","-102.215197","0.000000","top"
"R5","10k","R_0603_1608Metric","116.726032","-104.755197","180.000000","top"
"R6","2k","R_0603_1608Metric","138.422032","-106.726197","90.000000","top"
"R7","1k","R_0603_1608Metric","135.328788","-107.361197","0.000000","top"
"R8","100k","R_0603_1608Metric","147.977032","-106.221371","90.000000","top"
"R9","100","R_0603_1608Metric","150.582032","-106.195371","-90.000000","top"
"R10","100k","R_0603_1608Metric","147.977032","-99.109371","-90.000000","top"
"R11","100","R_0603_1608Metric","150.582032","-99.109371","90.000000","top"
"R12","10k","R_0603_1608Metric","109.043032","-104.755197","0.000000","top"
"R13","10k","R_0603_1608Metric","108.979032","-102.215197","0.000000","top"
"R14","2k","R_0603_1608Metric","138.462032","-84.501197","90.000000","top"
"R15","1k","R_0603_1608Metric","135.368788","-85.136197","0.000000","top"
"R16","100k","R_0603_1608Metric","148.017032","-83.996371","90.000000","top"
"R17","100","R_0603_1608Metric","150.622032","-83.970371","-90.000000","top"
"R18","100k","R_0603_1608Metric","148.017032","-76.884371","-90.000000","top"
"R19","100","R_0603_1608Metric","150.622032","-76.884371","90.000000","top"
"R20","10k","R_0603_1608Metric","110.236032","-115.804197","0.000000","top"
"R21","10k","R_0603_1608Metric","110.236032","-118.344197","0.000000","top"
"R22","2k","R_0603_1608Metric","138.462032","-95.593697","90.000000","top"
"R23","1k","R_0603_1608Metric","135.368788","-96.228697","0.000000","top"
"R24","100k","R_0603_1608Metric","148.017032","-95.088871","90.000000","top"
"R25","100","R_0603_1608Metric","150.622032","-95.062871","-90.000000","top"
"R26","100k","R_0603_1608Metric","148.017032","-87.976871","-90.000000","top"
"R27","100","R_0603_1608Metric","150.622032","-87.976871","90.000000","top"
"R28","10k","R_0603_1608Metric","115.697032","-118.344197","0.000000","top"
"R29","10k","R_0603_1608Metric","115.697032","-115.804197","180.000000","top"
"R30","2k","R_0603_1608Metric","138.475276","-117.862197","90.000000","top"
"R31","1k","R_0603_1608Metric","135.382032","-118.497197","0.000000","top"
"R32","100k","R_0603_1608Metric","148.030276","-117.357371","90.000000","top"
"R33","100","R_0603_1608Metric","150.635276","-117.331371","-90.000000","top"
"R34","100k","R_0603_1608Metric","148.030276","-110.245371","-90.000000","top"
"R35","100","R_0603_1608Metric","150.635276","-110.245371","90.000000","top"
"U1","TPS5430DDA","TI_SO-PowerPAD-8_ThermalVias","115.222381","-81.663197","0.000000","top"
"U2","LM324DT","SOIC-14_3.9x8.7mm_P1.27mm","112.903032","-110.216197","180","top"
